Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
2090.0,2093.0,189930.00000000003,4704.0,0.0,3.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2090.0,2094.0,189930.00000000003,4704.0,0.0,4.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2090.0,2095.0,189930.00000000003,4704.0,0.0,5.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2090.0,2096.0,189930.00000000003,9600.0,0.0,6.0,Parent to Child,0.9886487912843333,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2090.0,2097.0,189930.00000000003,9600.0,0.0,7.0,Parent to Child,0.9799435237337961,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2090.0,2098.0,189930.00000000003,19500.0,0.0,8.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.8789161727349704
2090.0,2099.0,189930.00000000003,19500.0,0.0,9.0,Parent to Child,0.9700477608014083,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.6655376799322608
2091.0,2092.0,189930.00000000003,4703.999999999997,1.0,2.0,Parent to Child,1.0000000000000002,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2091.0,2093.0,189930.00000000003,4704.0,1.0,3.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
2091.0,2094.0,189930.00000000003,4704.0,1.0,4.0,Parent to Child,1.0,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
